STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,AGG_METHOD,AGG_METHOD_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,ITU_DH_INT_USR_WKL,Percentage of individuals using the Internet - at least once a week but not every day,_T,Total,Y15T24,15 to 24 years old,_T,Total,PT_POP,Percentage of population,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2019,4.29572,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,ITU_DH_INT_USR_WKL,Percentage of individuals using the Internet - at least once a week but not every day,_T,Total,Y15T24,15 to 24 years old,_T,Total,PT_POP,Percentage of population,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,3.82344,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,ITU_DH_INT_USR_WKL,Percentage of individuals using the Internet - at least once a week but not every day,_T,Total,Y15T24,15 to 24 years old,_T,Total,PT_POP,Percentage of population,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2022,0.469273,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,DZA,Algeria,ITU_DH_INT_USR_WKL,Percentage of individuals using the Internet - at least once a week but not every day,_T,Total,Y15T24,15 to 24 years old,_T,Total,PT_POP,Percentage of population,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2018,13.807,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SAU,Saudi Arabia,ITU_DH_INT_USR_WKL,Percentage of individuals using the Internet - at least once a week but not every day,_T,Total,Y15T24,15 to 24 years old,_T,Total,PT_POP,Percentage of population,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2017,0.440007,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUS,Australia,ITU_DH_INT_USR_WKL,Percentage of individuals using the Internet - at least once a week but not every day,_T,Total,Y15T24,15 to 24 years old,_T,Total,PT_POP,Percentage of population,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2007,27.8416,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUS,Australia,ITU_DH_INT_USR_WKL,Percentage of individuals using the Internet - at least once a week but not every day,_T,Total,Y15T24,15 to 24 years old,_T,Total,PT_POP,Percentage of population,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2008,30.0038,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUS,Australia,ITU_DH_INT_USR_WKL,Percentage of individuals using the Internet - at least once a week but not every day,_T,Total,Y15T24,15 to 24 years old,_T,Total,PT_POP,Percentage of population,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2009,25.7932,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,ITU_DH_INT_USR_WKL,Percentage of individuals using the Internet - at least once a week but not every day,_T,Total,Y15T24,15 to 24 years old,_T,Total,PT_POP,Percentage of population,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2003,44.6821,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,ITU_DH_INT_USR_WKL,Percentage of individuals using the Internet - at least once a week but not every day,_T,Total,Y15T24,15 to 24 years old,_T,Total,PT_POP,Percentage of population,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2004,34.3502,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,ITU_DH_INT_USR_WKL,Percentage of individuals using the Internet - at least once a week but not every day,_T,Total,Y15T24,15 to 24 years old,_T,Total,PT_POP,Percentage of population,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2005,28.2091,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,ITU_DH_INT_USR_WKL,Percentage of individuals using the Internet - at least once a week but not every day,_T,Total,Y15T24,15 to 24 years old,_T,Total,PT_POP,Percentage of population,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2006,22.7114,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,ITU_DH_INT_USR_WKL,Percentage of individuals using the Internet - at least once a week but not every day,_T,Total,Y15T24,15 to 24 years old,_T,Total,PT_POP,Percentage of population,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2007,20.4786,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,ITU_DH_INT_USR_WKL,Percentage of individuals using the Internet - at least once a week but not every day,_T,Total,Y15T24,15 to 24 years old,_T,Total,PT_POP,Percentage of population,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2008,19.3823,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,ITU_DH_INT_USR_WKL,Percentage of individuals using the Internet - at least once a week but not every day,_T,Total,Y15T24,15 to 24 years old,_T,Total,PT_POP,Percentage of population,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2009,24.4293,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,ITU_DH_INT_USR_WKL,Percentage of individuals using the Internet - at least once a week but not every day,_T,Total,Y15T24,15 to 24 years old,_T,Total,PT_POP,Percentage of population,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2010,17.3869,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,ITU_DH_INT_USR_WKL,Percentage of individuals using the Internet - at least once a week but not every day,_T,Total,Y15T24,15 to 24 years old,_T,Total,PT_POP,Percentage of population,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2011,15.2231,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,ITU_DH_INT_USR_WKL,Percentage of individuals using the Internet - at least once a week but not every day,_T,Total,Y15T24,15 to 24 years old,_T,Total,PT_POP,Percentage of population,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2012,13.2526,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,ITU_DH_INT_USR_WKL,Percentage of individuals using the Internet - at least once a week but not every day,_T,Total,Y15T24,15 to 24 years old,_T,Total,PT_POP,Percentage of population,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2013,8.14623,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
